0.1151	426
0.1325	426
0.1729	426
0.1961	426
0.2129	426
0.2292	426
0.2462	356
0.2590	356
0.2764	7
0.2896	7
0.3106	7
0.3236	0
0.3404	0
0.3539	0
0.3707	0
0.3835	0
0.4032	0
0.4159	0
0.4295	0
0.4415	0
0.4578	0
0.4734	0
0.4872	0
0.5003	0
0.5176	0
0.5311	0
0.5460	0
0.5617	0
0.5746	0
0.5919	0
0.6042	0
0.6164	0
0.6334	7
0.6492	7
0.6624	356
0.6779	356
0.6910	356
0.7081	426
0.7244	426
0.7373	426
0.7505	426
0.7670	426
0.7830	426
0.7987	426
0.8123	426
0.8252	426
0.8407	426
0.8580	426
0.8760	426
0.8920	426
0.9078	426
0.9239	426
0.9396	426
0.9542	426
0.9694	426
0.9812	426
0.9958	426
1.0096	426
1.0237	426
1.0376	426
1.0520	426
1.0686	426
1.0806	426
1.0921	426
1.1041	426
1.1158	426
1.1274	426
1.1389	426
1.1505	426
1.1632	426
1.1748	426
1.1869	426
1.1991	426
1.2111	426
1.2226	426
1.2342	426
1.2455	426
1.2569	426
1.2685	426
1.2803	426
1.2920	426
1.3041	7
1.3156	7
1.3278	7
1.3393	7
1.3506	7
1.3620	7
1.3732	7
1.3853	7
1.3976	0
1.4092	0
1.4207	0
1.4317	0
1.4438	0
1.4550	0
1.4664	0
1.4777	0
1.4889	0
1.5003	0
1.5119	0
1.5235	0
1.5349	0
1.5463	0
1.5578	0
1.5692	0
1.5807	0
1.5922	0
1.6037	0
1.6156	0
1.6271	0
1.6385	0
1.6501	7
1.6628	356
1.6745	356
1.6861	356
1.6977	356
1.7104	356
1.7222	356
1.7337	356
1.7456	356
1.7574	356
1.7725	426
1.7861	426
1.7997	426
1.8162	426
1.8308	426
1.8455	426
1.8634	426
1.8761	426
1.8894	426
1.9016	426
1.9132	426
1.9247	426
1.9360	426
1.9480	426
1.9597	426
1.9713	426
1.9827	426
1.9950	426
2.0069	426
2.0185	426
2.0298	426
2.0414	426
2.0537	426
2.0653	426
2.0772	426
2.0896	426
2.1036	426
2.1151	426
2.1265	426
2.1377	426
2.1491	426
2.1622	426
2.1740	426
2.1876	426
2.2001	426
2.2119	426
2.2233	426
2.2347	426
2.2462	426
2.2575	426
2.2690	426
2.2806	426
2.2922	426
2.3040	7
2.3158	7
2.3285	0
2.3402	0
2.3516	0
2.3630	0
2.3745	0
2.3858	0
2.3971	0
2.4089	0
2.4204	0
2.4319	0
2.4432	0
2.4550	0
2.4665	0
2.4779	0
2.4894	0
2.5008	0
2.5135	0
2.5267	0
2.5389	0
2.5515	0
2.5644	0
2.5783	0
2.5915	0
2.6033	0
2.6175	426
2.6299	426
2.6425	426
2.6540	426
2.6662	426
2.6778	426
2.6894	426
2.7009	426
2.7134	426
2.7249	426
2.7367	426
2.7482	426
2.7598	426
2.7747	426
2.7915	426
2.8079	426
2.8233	426
2.8401	426
2.8568	426
2.8724	426
2.8893	426
2.9059	426
2.9187	362
2.9311	362
2.9426	362
2.9537	362
2.9655	362
2.9802	362
2.9939	362
3.0085	362
3.0254	362
3.0410	362
3.0577	362
3.0742	362
3.0902	362
3.1076	362
3.1226	362
3.1389	362
3.1559	362
3.1754	362
3.1932	362
3.2132	362
3.2270	428
3.2420	428
3.2544	428
3.2661	428
3.2775	428
3.2896	428
3.3019	428
3.3133	428
3.3248	428
3.3364	428
3.3477	428
3.3588	428
3.3700	428
3.3815	428
3.3960	428
3.4119	428
3.4293	428
3.4456	428
3.4645	428
3.4819	428
3.5033	428
3.5177	362
3.5303	362
3.5419	362
3.5534	362
3.5650	362
3.5764	362
3.5883	362
3.5996	362
3.6109	362
3.6223	362
3.6342	362
3.6459	362
3.6571	362
3.6688	362
3.6815	362
3.6990	362
3.7146	362
3.7301	362
3.7484	362
3.7658	362
3.7809	362
3.7967	426
3.8097	426
3.8214	426
3.8331	426
3.8447	426
3.8567	426
3.8685	426
3.8800	426
3.8922	426
3.9038	426
3.9152	426
3.9266	426
3.9380	426
3.9493	426
3.9607	426
3.9727	426
3.9857	426
4.0033	426
4.0210	426
4.0412	426
4.0583	426
4.0762	426
4.0930	426
4.1127	426
4.1275	426
4.1416	426
4.1567	426
4.1689	426
4.1822	426
4.1956	426
4.2075	426
4.2192	426
4.2306	426
4.2420	426
4.2536	426
4.2689	426
4.2864	426
4.3041	426
4.3195	426
4.3379	426
4.3537	426
4.3694	426
4.3875	426
4.4013	362
4.4131	362
4.4249	362
4.4363	362
4.4479	362
4.4594	362
4.4707	362
4.4826	362
4.4942	362
4.5055	362
4.5171	362
4.5289	362
4.5404	362
4.5517	362
4.5638	362
4.5768	362
4.5935	362
4.6088	362
4.6253	362
4.6432	362
4.6635	362
4.6797	362
4.6932	428
4.7057	428
4.7188	428
4.7301	428
4.7415	428
4.7535	428
4.7650	428
4.7767	428
4.7882	428
4.7997	428
4.8109	428
4.8267	428
4.8407	428
4.8570	428
4.8731	428
4.8887	428
4.9045	428
4.9219	428
4.9395	428
4.9553	428
4.9750	428
4.9882	362
5.0037	362
5.0152	362
5.0266	362
5.0380	362
5.0495	362
5.0615	362
5.0728	362
5.0847	362
5.0961	362
5.1097	362
5.1246	362
5.1398	362
5.1569	362
5.1725	362
5.1908	362
5.2065	362
5.2220	362
5.2403	362
5.2558	362
5.2687	426
5.2816	426
5.2963	426
5.3102	426
5.3236	426
5.3363	426
5.3483	426
5.3597	426
5.3712	426
5.3827	426
5.3941	426
5.4054	426
5.4169	426
5.4321	426
5.4489	426
5.4632	426
5.4788	426
5.4928	426
5.5088	426
5.5229	426
5.5372	426
5.5528	426
5.5676	426
5.5836	426
5.5987	426
5.6154	426
5.6300	426
5.6483	426
5.6661	426
5.6812	426
5.6957	426
5.7127	426
5.7299	426
5.7482	426
5.7633	426
5.7823	426
5.8017	426
5.8178	426
5.8329	426
5.8512	426
5.8669	426
5.8848	426
5.9006	426
5.9181	426
5.9368	426
5.9542	426
5.9688	356
5.9819	356
5.9944	356
6.0065	356
6.0181	356
6.0294	356
6.0408	356
6.0525	356
6.0650	0
6.0766	0
6.0880	0
6.1005	0
6.1125	0
6.1239	0
6.1353	0
6.1477	0
6.1597	0
6.1724	0
6.1846	0
6.1965	0
6.2078	0
6.2192	0
6.2319	0
6.2436	0
6.2550	0
6.2668	0
6.2781	0
6.2894	0
6.3009	0
6.3122	0
6.3235	0
6.3374	7
6.3494	7
6.3609	7
6.3722	7
6.3836	7
6.3948	7
6.4061	7
6.4176	7
6.4292	7
6.4413	426
6.4536	426
6.4651	426
6.4791	426
6.4910	426
6.5028	426
6.5142	426
6.5258	426
6.5371	426
6.5484	426
6.5608	426
6.5724	426
6.5843	426
6.5955	426
6.6068	426
6.6195	426
6.6315	426
6.6433	426
6.6548	426
6.6667	426
6.6782	426
6.6896	426
6.7009	426
6.7143	426
6.7262	426
6.7377	426
6.7489	426
6.7611	426
6.7726	426
6.7842	426
6.7955	426
6.8080	426
6.8202	426
6.8316	426
6.8431	426
6.8545	426
6.8656	426
6.8771	426
6.8895	426
6.9009	426
6.9128	426
6.9259	426
6.9382	426
6.9498	426
6.9613	426
6.9727	426
6.9845	426
6.9970	7
7.0088	7
7.0202	7
7.0315	7
7.0429	7
7.0544	7
7.0661	7
7.0777	7
7.0899	0
7.1016	0
7.1132	0
7.1251	0
7.1365	0
7.1483	0
7.1599	0
7.1716	0
7.1838	0
7.1976	0
7.2092	0
7.2210	0
7.2326	0
7.2447	0
7.2560	0
7.2671	0
7.2790	0
7.2906	0
7.3020	0
7.3136	0
7.3255	0
7.3381	0
7.3499	0
7.3612	0
7.3729	356
7.3849	356
7.3963	356
7.4077	356
7.4191	356
7.4306	356
7.4420	356
7.4539	356
7.4657	356
7.4832	426
7.4995	426
7.5143	426
7.5286	426
7.5444	426
7.5618	426
7.5744	426
7.5869	426
7.5989	426
7.6108	426
7.6225	426
7.6340	426
7.6455	426
7.6569	426
7.6688	426
7.6812	426
7.6928	426
7.7059	426
7.7186	426
7.7300	426
7.7414	426
7.7528	426
7.7641	426
7.7755	426
7.7873	426
7.7991	426
7.8110	426
7.8229	426
7.8346	426
7.8461	426
7.8576	426
7.8689	426
7.8807	426
7.8923	426
7.9041	426
7.9156	426
7.9275	426
7.9393	426
7.9509	426
7.9623	426
7.9738	426
7.9853	426
7.9968	426
8.0085	426
8.0205	426
8.0322	0
8.0436	0
8.0555	0
8.0673	0
8.0787	0
8.0899	0
8.1014	0
8.1143	0
8.1265	0
8.1382	0
8.1497	0
8.1612	0
8.1735	0
8.1865	0
8.2003	0
8.2120	0
8.2235	0
8.2348	0
8.2468	0
8.2584	0
8.2697	0
8.2813	0
8.2927	0
8.3041	0
8.3154	0
8.3269	0
8.3383	0
8.3515	7
8.3634	7
8.3749	7
8.3865	7
8.3979	7
8.4092	7
8.4202	7
8.4316	7
8.4434	7
8.4597	426
8.4742	426
8.4887	426
8.5007	426
8.5122	426
8.5236	426
8.5349	426
8.5461	426
8.5575	426
8.5692	426
8.5811	426
8.5926	426
8.6042	426
8.6156	426
8.6266	426
8.6393	426
8.6510	426
8.6627	426
8.6749	426
8.6865	426
8.6978	426
8.7099	426
8.7218	426
8.7332	426
8.7450	426
8.7565	426
8.7677	426
8.7808	426
8.7925	426
8.8048	426
8.8167	426
8.8282	426
8.8397	426
8.8512	426
8.8627	426
8.8742	426
8.8859	426
8.8975	426
8.9093	426
8.9209	426
8.9324	426
8.9439	426
8.9556	356
8.9669	356
8.9784	356
8.9898	356
9.0017	356
9.0134	356
9.0252	356
9.0369	356
9.0488	0
9.0621	0
9.0735	0
9.0849	0
9.0963	0
9.1079	0
9.1193	0
9.1314	0
9.1431	0
9.1555	0
9.1677	0
9.1792	0
9.1914	0
9.2040	0
9.2154	0
9.2268	0
9.2387	0
9.2501	0
9.2614	0
9.2726	0
9.2845	0
9.2960	0
9.3085	0
9.3198	0
9.3314	0
9.3437	0
9.3551	0
9.3675	0
9.3793	0
9.3914	356
9.4036	356
9.4150	356
9.4266	356
9.4382	356
9.4497	356
9.4612	356
9.4732	356
9.4848	356
9.5008	426
9.5159	426
9.5285	426
9.5399	426
9.5512	426
9.5628	426
9.5742	426
9.5859	426
9.5972	426
9.6088	426
9.6205	426
9.6322	426
9.6437	426
9.6550	426
9.6674	426
9.6790	426
9.6905	426
9.7023	426
9.7151	426
9.7271	426
9.7385	426
9.7501	426
9.7615	426
9.7729	426
9.7843	426
9.7963	426
9.8077	426
9.8205	426
9.8327	426
9.8445	426
9.8560	426
9.8675	426
9.8789	426
9.8901	426
9.9025	426
9.9144	426
9.9262	426
9.9378	426
9.9490	426
9.9605	426
9.9722	426
9.9836	426
9.9951	426
10.0071	7
10.0186	7
10.0305	7
10.0420	7
10.0537	0
10.0660	0
10.0775	0
10.1139	0
10.1270	0
10.1394	0
10.1521	0
10.1666	0
10.1785	0
10.1924	0
10.2078	0
10.2260	0
10.2420	0
10.2588	0
10.2751	0
10.2933	0
10.3067	0
10.3245	0
10.3423	7
10.3581	7
10.3737	356
10.3911	356
10.4063	356
10.4251	426
10.4407	426
10.4579	426
10.4731	426
10.4921	426
10.5042	426
10.5165	426
10.5335	426
10.5476	426
10.5663	426
10.5840	426
10.5977	426
10.6173	426
10.6332	426
10.6456	426
10.6610	426
10.6737	426
10.6924	426
10.7060	426
10.7256	426
10.7430	426
10.7612	426
10.7734	426
10.7893	426
10.8077	426
10.8250	426
10.8391	426
10.8579	426
10.8760	426
10.8892	426
10.9093	426
10.9254	426
10.9428	426
10.9576	356
10.9703	356
10.9822	356
10.9936	356
11.0051	356
11.0169	356
11.0287	356
11.0402	356
11.0518	356
11.0644	0
11.0763	0
11.0877	0
11.0993	0
11.1107	0
11.1222	0
11.1334	0
11.1447	0
11.1564	0
11.1702	0
11.1821	0
11.1949	0
11.2078	0
11.2193	0
11.2306	0
11.2419	0
11.2539	0
11.2655	0
11.2772	0
11.2887	0
11.3001	0
11.3116	0
11.3230	0
11.3344	0
11.3477	7
11.3595	7
11.3708	7
11.3830	7
11.3948	7
11.4062	7
11.4177	7
11.4290	7
11.4407	7
11.4571	426
11.4712	426
11.4863	426
11.5033	426
11.5187	426
11.5346	426
11.5471	426
11.5589	426
11.5702	426
11.5821	426
11.5933	426
11.6052	426
11.6169	426
11.6283	426
11.6411	426
11.6569	426
11.6717	426
11.6858	426
11.7001	426
11.7150	426
11.7300	426
11.7436	426
11.7554	426
11.7669	426
11.7783	426
11.7898	426
11.8015	426
11.8134	426
11.8248	426
11.8362	426
11.8476	426
11.8599	426
11.8716	426
11.8832	426
11.8945	426
11.9058	426
11.9173	426
11.9287	426
11.9408	426
11.9524	426
11.9643	356
11.9760	356
11.9874	356
11.9988	356
12.0103	356
12.0216	356
12.0329	356
12.0448	356
12.0562	356
12.0694	0
12.0811	0
12.0929	0
12.1044	0
12.1158	0
12.1271	0
12.1385	0
12.1502	0
12.1615	0
12.1749	0
12.1863	0
12.1992	0
12.2118	0
12.2233	0
12.2350	0
12.2464	0
12.2579	0
12.2697	0
12.2812	0
12.2926	0
12.3044	0
12.3157	0
12.3279	0
12.3400	0
12.3517	0
12.3632	0
12.3754	0
12.3869	0
12.3983	0
12.4100	0
12.4224	426
12.4338	426
12.4452	426
12.4566	426
12.4679	426
12.4792	426
12.4906	426
12.5025	426
12.5143	426
12.5278	426
12.5393	426
12.5508	426
12.5621	426
12.5735	426
12.5849	426
12.5963	426
12.6082	426
12.6204	426
12.6320	426
12.6433	426
12.6543	426
12.6670	426
12.6789	426
12.6904	426
12.7023	426
12.7142	426
12.7264	426
12.7378	426
12.7492	426
12.7606	426
12.7724	426
12.7841	426
12.7957	426
12.8071	426
12.8185	426
12.8306	426
12.8429	426
12.8549	426
12.8664	426
12.8776	426
12.8890	426
12.9004	426
12.9118	426
12.9233	426
12.9353	426
12.9475	356
12.9593	356
12.9710	356
12.9828	356
12.9948	7
13.0063	7
13.0180	7
13.0295	7
13.0409	7
13.0522	7
13.0646	7
13.0762	7
13.0890	0
13.1009	0
13.1126	0
13.1242	0
13.1357	0
13.1471	0
13.1586	0
13.1709	0
13.1837	0
13.1955	0
13.2081	0
13.2201	0
13.2315	0
13.2428	0
13.2542	0
13.2665	0
13.2779	0
13.2897	0
13.3010	0
13.3139	0
13.3255	0
13.3374	0
13.3490	0
13.3610	7
13.3724	7
13.3837	7
13.3956	7
13.4072	7
13.4187	7
13.4300	7
13.4413	7
13.4538	426
13.4656	426
13.4771	426
13.4884	426
13.5005	426
13.5120	426
13.5235	426
13.5348	426
13.5478	426
13.5596	426
13.5711	426
13.5829	426
13.5945	426
13.6061	426
13.6176	426
13.6292	426
13.6405	426
13.6521	426
13.6636	426
13.6759	426
13.6871	426
13.6985	426
13.7101	426
13.7229	426
13.7348	426
13.7474	426
13.7591	426
13.7706	426
13.7822	426
13.7940	426
13.8054	426
13.8174	426
13.8298	426
13.8415	426
13.8529	426
13.8643	426
13.8757	426
13.8871	426
13.8985	426
13.9098	426
13.9223	426
13.9337	426
13.9453	426
13.9573	426
13.9692	426
13.9812	356
13.9927	356
14.0043	356
